,0
355,GO:0048018
356,GO:0099513
357,GO:0001522
358,GO:0001525
359,GO:0048646
360,GO:0099512
361,GO:0008289
362,GO:0097367
363,GO:0005126
364,GO:0005886
365,GO:0001539
366,GO:0048870
367,GO:0042277
368,GO:0048608
369,GO:0040007
370,GO:0048589
371,GO:0022412
372,GO:0030855
373,GO:0048588
374,GO:0048469
375,GO:0001558
376,GO:0040008
377,GO:0009062
378,GO:0019395
379,GO:0051707
380,GO:0038023
381,GO:0016705
382,GO:0048856
383,GO:0030154
384,GO:0004888
385,GO:0015908
386,GO:0008528
387,GO:0004930
388,GO:0001653
389,GO:0001654
390,GO:0007423
391,GO:0001822
392,GO:0048871
393,GO:0001664
394,GO:0005102
395,GO:0001666
396,GO:0006950
397,GO:0036293
398,GO:0001667
399,GO:0016477
400,GO:0030141
401,GO:0008047
402,GO:1902275
403,GO:0001676
404,GO:0042593
405,GO:0055082
406,GO:0001682
407,GO:0099116
408,GO:0006576
409,GO:0052803
410,GO:0019438
411,GO:0042401
412,GO:1901362
413,GO:0042402
414,GO:0052805
415,GO:0009792
416,GO:0001701
417,GO:0043009
418,GO:0001708
419,GO:0048869
420,GO:0016641
421,GO:0019988
422,GO:0120025
423,GO:0001732
424,GO:0002009
425,GO:0009952
426,GO:0016620
427,GO:0016831
428,GO:0015804
429,GO:0001763
430,GO:0071709
431,GO:0002274
432,GO:0001775
433,GO:0002376
434,GO:0048872
435,GO:0030098
436,GO:0005543
437,GO:0072341
438,GO:0001816
439,GO:0010467
440,GO:0001817
441,GO:0010468
442,GO:0051239
443,GO:0001818
444,GO:0010629
445,GO:0051241
446,GO:0001819
447,GO:0010628
448,GO:0051240
449,GO:0023061
450,GO:0046903
451,GO:0048513
452,GO:0045165
453,GO:0048598
454,GO:0008283
455,GO:0060429
456,GO:0016050
457,GO:0045087
458,GO:0045088
459,GO:0045824
460,GO:0045089
461,GO:0009620
462,GO:0043112
463,GO:0001882
464,GO:0097159
465,GO:1901363
466,GO:0001883
467,GO:0002064
468,GO:0044237
469,GO:0008375
470,GO:0001889
471,GO:0048732
472,GO:0048568
473,GO:0001894
474,GO:0012501
475,GO:0043903
476,GO:0001906
477,GO:0051701
478,GO:0002703
479,GO:0002705
480,GO:0023051
481,GO:0031323
482,GO:0060255
483,GO:0010605
484,GO:0023057
485,GO:0031324
486,GO:0010604
487,GO:0023056
488,GO:0031325
489,GO:0017157
490,GO:0043254
491,GO:0031333
492,GO:0031334
493,GO:0001932
494,GO:0031399
495,GO:0042325
496,GO:0001933
497,GO:0031400
498,GO:0042326
499,GO:0001934
500,GO:0031401
501,GO:0042327
502,GO:0001936
503,GO:0050678
504,GO:0050680
505,GO:0050679
506,GO:0061024
507,GO:0010810
508,GO:0071695
509,GO:0046928
510,GO:0050806
511,GO:1903532
512,GO:0001959
513,GO:0009966
514,GO:0060759
515,GO:0001960
516,GO:0009968
517,GO:0060761
518,GO:0009967
519,GO:0007268
520,GO:0009605
521,GO:0042330
522,GO:0033293
523,GO:0050877
524,GO:0003018
525,GO:0009306
526,GO:0010817
527,GO:0009593
528,GO:0048729
529,GO:0002020
530,GO:0019899
531,GO:0031667
532,GO:0008016
533,GO:0010959
534,GO:0006468
535,GO:0097746
536,GO:0030155
537,GO:0017000
538,GO:0044271
539,GO:0050769
540,GO:0008284
541,GO:0051603
542,GO:0061025
543,GO:0098589
544,GO:0030667
545,GO:0043467
546,GO:0035601
547,GO:0022603
548,GO:0045995
549,GO:0004659
550,GO:0002097
551,GO:0006400
552,GO:0002098
553,GO:0019955
554,GO:0006816
555,GO:0043235
556,GO:0007610
557,GO:0030488
558,GO:0072330
559,GO:0034227
560,GO:0043436
561,GO:0072593
562,GO:0044283
563,GO:0044282
564,GO:0003727
565,GO:0009755
566,GO:0030522
567,GO:0002161
568,GO:0052689
569,GO:0007275
570,GO:0009791
571,GO:0098798
572,GO:0034613
573,GO:1990204
574,GO:0002181
575,GO:0006412
576,GO:0006414
577,GO:0002183
578,GO:0006413
579,GO:0006415
580,GO:0061695
581,GO:0006952
582,GO:0009611
583,GO:0098542
584,GO:0002253
585,GO:0002429
586,GO:0030595
587,GO:0009595
588,GO:0002237
589,GO:0010033
590,GO:0043207
591,GO:0002250
592,GO:0006955
593,GO:0002252
594,GO:0050778
595,GO:0002263
596,GO:0045321
597,GO:0002366
598,GO:0002275
599,GO:0002283
600,GO:0042119
601,GO:0046649
602,GO:0042110
603,GO:0042113
604,GO:0009607
605,GO:0015914
606,GO:0002757
607,GO:0002768
608,GO:0006954
609,GO:0019882
610,GO:0006959
611,GO:0006869
612,GO:0002521
613,GO:0050900
614,GO:0016485
615,GO:0046907
616,GO:0051649
617,GO:0043299
618,GO:0030099
619,GO:0045055
620,GO:0002682
